0:00:06.000,0:00:15.996
0:00:16.000,0:00:31.996
0:00:31.996,0:00:33.996
0:00:33.996,0:00:40.995
0:00:40.995,0:01:02.992
0:01:02.992,0:01:04.992
0:01:04.992,0:01:11.991
0:01:11.991,0:01:32.988
0:01:32.988,0:01:34.988
0:01:34.988,0:01:41.987
0:01:41.987,0:02:02.985
0:02:02.985,0:02:04.985
0:02:04.985,0:02:10.984
0:02:10.984,0:02:33.981
0:02:33.981,0:02:35.981
0:02:35.981,0:02:41.980
0:02:41.980,0:03:02.977
0:03:02.977,0:03:04.977
0:03:04.977,0:03:10.976
0:03:10.976,0:03:31.973
0:03:31.973,0:03:33.973
0:03:33.973,0:03:38.972
0:03:38.972,0:03:59.969
0:03:59.969,0:04:01.969
0:04:01.969,0:04:41.965
0:04:41.965,0:04:43.965
0:04:43.965,0:04:59.965
